,comment,like_count
0,How did take the aerial shots? Is it drone or stock footage?,0
1,Go to the west part of Sichuan Province where is close to Tibet Province. That place is called Daochengyading. Great mountains and lakes like in heaven. And another one near is called Seda where there are hundreds of red houses lived by the monks. It is a Buddha college. They will do special ceremony for people who pass away outdoor even the tourists are allowed to watch it.,0
2,"This brother is a real travel guru, I tell you what , my IELTS is 6.5 and I still can't travel in the US without a tour guide, but this brother can spend a week in China only in English😂",1
3,"Talking about wonders of the world where other countries want to pride themselves of through western media, it seems China being the unsung hero and quiet achiever has everything you name it. Looks like it has more wonders of the world than many other countries of the world combined.",0
4,"Awesome stuff Doug, I havent been back to China for over 7 years. KunMing is definitely one of those places as chinese my self would love to go to.  and thanks for taking us along for the view.",0
5,Thank you for all this useful information that I learned through you,0
6,Welcome to Kunming,0
7,I'm locality of Kunming honor of your enjoy,0
8,"nice to see real lab puppies don't cost a mint somewhere, smaller operations tend to cross sire a LOT more than western mega puppy mills too. So either way ten thousand times better than paying $200 in adoption fees for a western shelter 'lab' with oddly beady and far apart eyes and a crocodile mouth that kills your cat within the first week...... 

or +$1500 for an actual lab puppy that probably still has iffy genetics.",0
9,"I know that the housing prices in this city are less than 800 dollars per square meter, so you can buy a big house here.",0
10,"I live in a country next to Yunnan Province of China, Myanmar.",0
11,Thank you! I'm heading to Kunming the day after tomorrow!,0
12,"Come on, Doug's Slugs! You know what to do! Yalla chain in the comments! 👇🏼",1
13,不错，很喜欢，拍的有感觉,0
14,"Good video with definitely good shooting and smooth editing skill!👍 Very beautiful view, thanks for sharing:) BTW, cities nearby Kunming are  attractive too in a different way, like Lijiang, Dali, Xianggelila, Xishuangbanna ect, worthy to explore, which is also quite popular and famous among Chinese tourists all year round.",0
15,你好！可以加个中文字幕吗！听不懂啊😂,0
16,I really enjoyed this! Thanks so much!!,1
17,You miss the dounan flower market! Make sure you go next time!,0
18,Hey Doug come back Bangladesh 🇧🇩 😢,0
19,Welcom,0
20,WOW Doug you are such a foodie! 😋☺Seeing you try and enjoy these food also makes me so happy,0
21,China is definitely a top choice for travel and I look forward to my next visit to China.,0
22,"Is this a dog friendly city? I mean, i know they sell dogs there, but for example are pet dogs on leashes allowed in that beautiful park?  I'd love to hear anyone's info on this. Thanks 🙏🙏",0
23,"welcome to China Doug,hope you traveling well here",0
24,Thank you brother! The foreigners learnt more about the cities in China from your videos!❤❤,0
25,Could you change the subtitles to English?I can’t understand Arabic😂,0
26,"Welcome to China!Passion from Xiamen,another famous city to traval.",2
27,"Watch most of your videos time to time 
Finally decided to 
Subscribe 
Let’s do this 
Have a good one",0
28,This my second time watching this video,0
29,Welcome to China,0
30,"In China, there are many apps that can be used to view ratings for restaurants and entertainment venues.
For example, Baidu Maps and Meituan, these two apps",0
31,好能吃啊,0
32,欢迎主播喜欢中国🇨🇳，认识我们，我们中国🇨🇳人民欢迎大家来我们作客，这里有二万多种美食，大美山川河流，这里没有歧视，这里没有抢劫和小偷，夜里十二点可以去任何地方玩，中国🇨🇳欢迎大家,0
33,"Visit Yunnan mix around with the various minorities (maybe about 10) such as Bai in Dali (occasionally you bump into Hui Muslim), Naxi in Lijiang (explore their Dongba culture. There is a western historian/scholar who did research on Dongba culture for decades and lived in Lijiang), Tibetan (Shangri la).",0
34,I love Yunnan so much 🥲 thanks for sharing,0
35,Always wanted to go to Dali which is also in Yunnan!,0
36,You never get food poisoned in Kunming? Just curious,0
37,"I invite you to come and discover Morocco too, you will love it !",0
38,昆明太普通了，像这样的城市在中国可以找到五十个😅,1
39,"the western media won't like your videos, they going to lebel you as another ccp paid propagandist.",1
40,Keep up the awesome work man!,0
41,Too much carbs 😅,0
42,Irak? Safe place for a Caucasian?,0
43,"An interesting fact is that when the director of the avatar was shooting the film, they decided to come to china the place which is called guangxi province, they went to Guilin city and captured the landscape and views and became the model of the avatar planet landscape in the film, so if you have time to come to china next time, u can go visit Guilin, the view and landscape in Guilin really looks like the avatar planet",2
44,"First time watching, enjoyed to see such a seasoned and cool traveller",8
45,"Hello Doug, don't forget to visit us in Iraq, we love you and welcome all tourists ❤🇮🇶",3
46,Thanks for introducing my hometown for people all over the world!,1
47,昆明现在都算大城市了嘛😂,0
48,"Yunnan , in Chinese it means south of colorful clouds which clearly says its a beautiful place .  Good weather and nice scenary with all sorts of tropical fruits .",0
49,Appreciation from Kunming. Welcome back again to explore more.,0
50,go visit hongkong,1
51,Love your attitude and outlook. Thanks for another great video.,5
52,"Don’t know how much you know about WWII aviation history, but I guess most American know a very well-known American Volunteer Group (AVG) back in 1940s made many Aces, this fighter aircraft group was called “The Flying Tigers”. They were also best recognized as shark fang battalion in the air because of their vicious symbol in front of every P40 fighters. I bring up this piece of old history here is because they were stationed there fought together along with Chinese against Japanese imperialism invasions in the Second World War. I believe Kunming city established a museum few years back in memory of those AVG during this Sino-American war time cooperation. If you are still around in Kunming city, then why not pay a visit to that Flying Tiger Museum. Few years back, a few last living AVG Flying Tigers fight pilots and ground crew members were also returned there, too. Maybe it could be one of great tourist destinations for a one day visiting. Check it out then….

I have never been there before, but I will visit it in near future. Below is the website and its location in Kunming:
http://www.kmflyingtiger.com/en/",1
53,"Great video Doug…love to know; Are animals nicer, outside of USA?  They seem much better behaved!",1
54,"Yunnan has many amazing cities, such as Pu 'er, Yuxi, Dali, and so on, there are many ethnic food, I hope you have time to explore one by one, it is best to find a local knowledge of the people as your guide, there are many foreigners in Yunnan at present, they are very integrated and understand the local life. Thank you for liking my hometown! Enjoy your journey! 🥰",9
55,云南，one of the most beautiful place in China.💖🤗,9
56,اهلا وسهلا,0
57,love from China,0
58,You got to visit Shenzhen my friend.,0
59,Every city is best city in china in their own way.,3
60,I love ittttt❤,0
61,"kunming is known as the “spring city” and “flower city” in China, the weather in kunming is always warm as in spring which is the best condition for flower planting.",4
62,看面条看馋了，大半夜好想回国😢😢,1
63,"thank you,have fun",4
64,Awesome video.  Keep up the good work ❤❤❤❤❤❤,3
65,💙💙💙,0
66,Even begging money need a code hahah,0
67,"Kunming is the capital of Yunnan Province, which is famous for its view, whether and unique ethnic culture. In kunming you should visit (maybe) the world's largest flower market  Dounan, and then take train to Lijiang, Dali and Shangri-la.",2
68,"I paid $600 for my red poodle 16 years ago in Los Angeles. This was a bargain, other places was charging $3000 dollars",2
69,😀🙏👍👍🙏,0
70,"Alipay and wechat is super convenient in China. Everyone use it with a smart phone. Vendor don't need to get a POS, just print the QR code and start up the business. You also don't need to prepare or bring some small change。",0
71,"I am mohsin we meet today in babylon, you do good work I fellow you",2
72,Very Good video,1
73,You missed out on Lijiang. It’s much more beautiful than Kunming and a true hidden gem for foreigners.,0
74,"I saw your video on the Chinese website bilibili, your video is very popular on bilibili; everyone appreciates your truthful reporting and looks forward to your subsequent Beijing trip.   Recommend you can taste Shichahai subway station near the Ma Kai restaurant mutton skewers, very delicious;",0
75,"I love your videos, you are very energetic and good natured",1
76,Please visit kufa (iraq) you will see imam Ali house and the mosque were imam Ali was assassinated,0
77,Welcome to changsha i hope meet to you,3
78,"Hey Doug!!! I Am Fernando. I Have Been into Kunming 3 Times !!! Amazing City ! →→→ PLEASE Don't Forget to Visit The HUMDINGER BREWPUB in Kunming ! They Have 3 Pubs Across The City All Open till Late ! Ask For My Friend Steven, a Chinese MasterCheff Who Runs All of Them ! GOOD LUCK !",1
79,刚好过泼水节,0
80,Amazing!,1
81,😀😀😀,2
82,"you know youtube is becoming boring, I had to manually type in Dough in my search to find his videos, even when I am a subscriber. And to see this video has 10k views, while THIS is real travel vlogging. It makes me so annoyed how Kurt Caz aka German passport bro is getting almost 1 M views, pops up on my feed while I'm not subbed to him and has almost 3M subs from bunch of incel men who cant get a girl in real life.",2
83,欧洲人民 美国澳大利亚 反正白人国家 up主 到中国旅行或体验 80%你们国家人 坦然接受 但是 但是 但是 日本 韩国 越南 这些小逼仔子国人的 博主来中国自由行 挨骂的95% 中国错在哪？ 这些友好博主错在哪？ 😂😂😂 总结 白人 自信 东亚人 小气 非洲人民是中国人民的同胞,0
84,"Now, that is a country worth exploring 
It has a lot to offer, unlike Iraq, which Idk why you insist on bringing more people into.",5
85,Loved this!  Beautiful clean city with great food!  Love the editing and drone footage as well. Park and forest were great to see!,21
86,"You should go to those restaurants with lot's of people in there, those are definitely highly rated.",0
