,comment,like_count
0,I use 95% lean mince to make my burgers does that make you cry josh?,0
1,"Nope, sorry but you are kinda like the anti-meme. You don't even have enough status to be pilloried.",0
2,This has been nerfed alrdy...,0
3,MAILLARD MAILLARD MAILLARD MAIKLARD. DOEAS HE GET PAID EVERYTIME HE SAYS THIS ? BTW LET GEORGE TALK,0
4,"Neutral lettuce and tomato, no
Violent overpowering onion, yes
ahh makes perfect sense",0
5,I'm glad there's no love for the brioche bun - EVERY bar in NZ uses a brioche bun and I just don't get it.,0
6,With the cheese comparison the only issue I saw is that the smoked gouda doesn't melt well at all. I prefer a slice of provolone and a slice of cheddar. That works for me.,0
7,I do pickles length wise on my burger i make at home haha glad im not the only one,0
8,Wheres the purple onion,0
9,Swiss cheese is gross,0
10,Bourdain burger  though,0
11,"I feel like you also need to explore the variety of American Cheeses and find the best. I love ""Cooper Sharp American Cheese"" over others.",0
12,bro i love how you have a jar Vegemite on the back self very aussi and very good keep it up,0
13,It looks like a  Whataburger lol.,0
14,Do a fried rice battle against ziang’s food workshop,0
15,"pretzel buns for me, the structure and chewiness of the bun is perfect for burger patties and cheese",0
16,Josh... you should take on the Gardettos rye chips.  Make em!,0
17,"am i the only one who got sick of the ""bambam"" sound effect at about 3mins in? WHY so many????",0
18,sauce recipe?,0
19,the jump cuts every few seconds are so dizzying,0
20,"I've got to disagree on the cheese, the texture of the cheddar and other regular cheeses is a great addition to the burger but only great when you eat it with the entire burger. They complained about the fat coating the mouth when the cheese oil would go into the bread when it's on a bun and would mix with the sauce. Blue cheese is also a another burger topping that in small quantities really improves the burger with so much flavor. Pepper jack is also a good cheese.",0
21,<<<Sees a smashed patty for the first time and thinks WTF are they doing to that patty.,0
22,"Really annoying guy, why is he touching the food all the time?",0
23,"""expert"" I ate burgers at George's restaurant and it is the definition of mid. Even had a burger where it was sopping wet like wtf. Man, any crackpot can have a successful restaurant once they have a social media presence, huh?",0
24,"I am Irish. If I wanted to buy ""American Cheese"", what product should I look for?",0
25,Fantastic.  Nice to see you have a true expert on.,0
26,"Thank you for the video! Learned a lot actually in 20 minutes and there was a great balance between the two speakers! Happy to know the differences in textures, juiciness and sauciness!!",0
27,"What makes me sad when I watch Joshua's shows is that he's not trying to reach for the best quality ingredients, the lettuce and the tomatoes he shows are the saddest vegetables I've ever seen in the face of the Earth, those tomatoes you find them everywhere in the world, all year long, they taste like plastic, they never saw what a real soil is in their life neither a real sunshine. Lettuce is alike. Of course you don't want that tasteless disaster in your burger.",0
28,"Georges burger, No cheese on the top pattie. i flip the top bun after being toasted to toast the top of the bun. That is when I put the second slice of cheese on the top bun to seal the toasted inner keeping the sauce from soaking into and sogging the bun. 80/20 with a razor thin slice of onion under the cheese on the bottom pattie to keep it from sliding around. (Plain unseasoned typically, but will occasionally mix Montreal Steak seasoning into the beef) My sauce is a 50/50 mix of Heinz Ketchup and Gulden's spicy brown mustard! With Doritos' Sweet and Spicy (purple bag). Lemonade or Dr. Pepper!  Perfection.",0
29,Awesome,0
30,"Pickled red onion is so underrated on burgers, no one does it for whatever reason. Its better than pickles imo",0
31,We all knew American cheese would win lol,0
32,"A burger should be eaten with one hand without deconstructing itself. If you want more meat, eat two burgers. Dont put two patties in it.",0
33,If it's approved by George Motz it gotta be one of the best😌,1
34,"Hey man. Huge fan of your channel. Your extremely rounded in what you can cook. I was wondering if you could make video on how to make”naengmyeon”. Its a korean noodle dish. I believe the broth is made kimchi, pickled radish brine and beef brine. 

Thanks and hope you see this 😅",0
35,Can you share your sauce recipe,0
36,As soon as he said sauce was unnecesary on a burger i knew he was a biden voter.,0
37,"ive been seeing a lot of George Motz lately, is he doin something? I LOVE ONION BURGERS!!",0
38,"Personally, I love that Johnny Knoxville found his passion after Jackass... love the lambchops as well!! ;-)",0
39,value in both these burgers but I'll have George's every time if i can.,0
40,People giving Josh crap in the comments but I thought the video was pretty clear this is his burger and the George is showing his at the end. George is here to give pointers and history.,0
41,"I see George Motz, I like",1
42,"they look related, kinda uncanny haha",0
43,"honestly, i never understood using american cheese in anything at all, personally, i despise it and how sticky it is",0
44,Wtf are you all talking about the dude speaks plenty 😂😂,0
45,"You’re one of my favourite YouTubers, I’ve been here since 40k subscribers I’m so proud of the evolution ❤. Wanna help me pay my fine so i can still watch you instead of going to jail LMAO?",0
46,"good lord LET THE MAN TALK !!!
Feels like everytime George was starting to talk it was cut out.",0
47,I feel insane when focusing on how many cuts there are when George talks,0
48,this reminds me of ron swanson from parks and rec at the burger episode,0
49,Yes! I needed this. Two frickin legends together!,0
50,"oh yes, it's good to feel validated xD I go mustard, onion and pickle topped with melted cheese, no bullshit! xD 100% best burger",1
51,Love the professor honesty and Josh being totally humble. Really loved this one.,2
52,There's one problem with this test... burger style and fat % needs cross testing. different % of fat will feel different at different styles of patty...,0
53,Seth Rogan!!,0
54,"Been makin this burger for months, youre late man",0
55,why do you hate vegetables ;___;,0
56,"8:50 - George you are a patient guest, well done keeping your cool there...",0
57,"This is what I have been waiting for, the Collab of the century !!!",0
58,"for my diet, ive been eating nothing but 96% lean beef for the past year.  Man I miss good ol 80/20, but ive lost over 100 pounds.",0
59,finally my expectation met wolverine and josh making burger,0
60,Is that teen wolf in his final form with sideburns?,0
61,"Alright, I stumbled upon something interesting. Everyone Google ""Buffalo Bill Cody"" and look at the pictures, especially of the ones where he's younger and with his hair down. Striking resemblance",0
62,"> get an expert on burgers on to collab
> never stop talking for 5 seconds
God your content is hard to watch these days.",0
63,"I grind my meat. Chuck, brisket & sirloin. Homemade creole mustard & the thinnest smear of mayonnaise. Smoked salt & freshly ground smoked pepper.",0
64,"I’m shocked that bleu cheese didn’t make the list of cheeses to test. Mayo, blue cheese, bacon and pickled jalapeños = perfect burger 😊",0
65,I would have clicked on this so much faster if George Motz was in the title.,0
66,"why not best of both world, you sous vide or reverse sear the 60%, then wrap the outside with a layer of crust made from 90% meat. like some kind of burger sushi roll with crust.",0
67,No way those two aren’t related.😂,0
68,"2 80/20 smash patties, American cheese, potato bun, mustard, onion, bread and butter pickle chips instead of dill.",0
69,Im hungry now,0
70,"When I clicked on this I was thinking, how could josh beat Motz? and then he walked into frame. That's a like",0
71,Finally someone checked Josh on drowning his burgers in sauce,0
72,"Okay, now I'm craving burgers the day I decided to go on a cut. I guess we're bulking now.",0
73,"90% he said add butter and it would taste like steak. That’s my go to, 93/7 but rub with clarified butter",0
74,"Stay flexy, my friends",0
75,"Potato bun, thick grilled patty, American cheese, mayo, sliced pickles, sliced onions not cooked, and sliced tomato. That to me is the classic grilling outside watching a football game with family and neighbors cheeseburger. if you really want to make that patty special though what I do is mix the beef with partially sauteed onions&mushrooms (both diced), southern flavor cajun seasoning &charbroil seasoning, and if necessary for the sake of firmness you can mix some egg and breadcrumbs into it. Totally optional way to make the patties and you might not like it but I recommend trying it",0
76,"I like the video, but since taste is subjective, I love brioche for my burgers.",0
77,"American is a cheese product typically based on cheddar. FYI, legally it can't be advertised as cheese. But it sure melts well.",0
78,"*Reads the title of the video*

Me: I very highly doubt it.",0
79,Introducing a guest and then not letting them talk in the video for a full minute is so sad...,0
80,Smash burgers just need to stop... And everyone has there own idea of the perfect burger... Just eat what you like...,0
81,"Trick question, there is no perfect burger but, anyone can have their favorite. Same goes for pizza.",0
82,this is the most elaborate ad ive ever seen for george motz,0
83,"You should make the Emmy burger but better, I call that a challenge.",0
84,"If you do leaner beef in a burger you can't smash it. It has to be thick patty and cook it medium rare at most. The French style of brasserie burger tend to lean that way (to the point it's basically impossible to find fatty ground beef here) but you really have to build your burger for it, with the juiciness coming from the rareness rather than the fat.",1
85,"perfect ingredients dont necessarily make a perfect something when combined, josh",0
86,"George basically just took a good old fashioned cheeseburger, and maximized the necessary flavor profiles, all while keeping things as simplistic as possible. I also agree that while a great sauce is good, it's not needed if you just simply maximize the major components of a burger. It's exactly how I prefer mine tbh",0
87,They looked kinda similar to me...,0
88,"Man this channel has gone downhill I started watching Josh as a dishwasher to make recipes on my day off, worked my up to a sous chef and came back to check him out and was disappointed at the change in videos and subjects the quality and quests are amazing but I miss the ol chef showing us awesome ways to cook things we might not feel comfortable trying at home hopefully it comes back to tips and recipes and goes away from fast food reviews and talking over amazing guests lol not trying to be negative just trying to put a point out there",0
89,"Sorry, but my perfect burger has tomato, lettuce, beetroot (pickled) and pineapple; bacon (not too crispy) and an egg (over easy).
American cheese a no-no.",0
90,There’s no such thing as in between medium and medium rare. This guys is so pretentious lol,0
91,"Actually gotta say I am not too much a fan of this video man. You...really didn't show George the appropriate respect at all and just kinda walked over him. This wasn't a colab, this was Josh with someone in the backdrop...like Im a little disappointed you, of all people, would act like this.",0
92,Like that❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
93,And the finer you dice the onion the better.,0
94,Why even bring a guest on at this point 😂 Josh wasn’t letting my guy say more than 3 words,0
95,🗑🗑🗑🗑,0
96,Very Ron Swanson vs. Chris Traeger battle going on at the end.,0
97,"Remember when this channel was good?  Ahh, those were the days.",0
98,My Mom used snowflake rolls from a small bakery around the corner for homeade burgers way back when. I think the sprinkling of flour on the buns before baking transforms them. IMO the best burger buns of all.,0
99,"Frankly anyone who thinks ""American Cheese"" is good on anything, let alone 'the best choice' on a burger - is a clown. I'm so appalled with you Josh, so many years following you and you've fallen so quickly - like Icarus to the sun, except your wings are made of crappy American Cheese.",0
100,So glad you didn't use tomato...it has no place on a burger in my world.,0
101,"Josh at this point what was the point to bring George and don't listen to him, just make video solo. You didn't let George talk enough, i feel bad for George",0
102,"Gotta love how the best burger cheese isn’t actually cheese at all. I’m fine with this though, I’m not a cheese guy. 

Also when it comes to pickles, love the flavor but I hate how they always come out no matter how hard I bite, think length ways might be the way.",0
103,George is Wolverine?,0
104,"3:50 ""I didn't sniff the crack yet"" 😂💀",0
105,all eyes on rafah,0
106,Did Dexter Morgan beat death again?,0
107,10:28 James May,0
108,"Automatic dislike after seeing them rule ketchup out. A hamburger is not a great hamburger without ketchup. There can be good hamburgers without ketchup, but you need ketchup to make it great.",0
109,George's is 100% the perfect burger!,0
110,Josh your full of 💩. Let the man talk.,0
111,You are a very hairy and good boy,0
112,You railroaded this whole thing instead of letting the burger dude with charisma talk.,0
113,mate what happened to the beetroot - love from Australia,0
114,"Dear Video Editor:  STOP IT with all the jump cuts!!!  It's so distracting and unnecessary.  Were you trying to distract everyone's attention from the amazing guest, so he wouldn't outshine Josh (he totally did anyway)?  Didn't even put George's name in the title.",0
115,Ano kayo lang? penge din kami!!!,0
116,Joshes ego is getting the better of him,0
117,What is the shirt your guest is wearing?!?1  Enquiring minds wanna know.,0
118,"14:42 LINK IN THE DESCRIPTION - no, no link xD",0
119,No tomato on a burger means it's not perfect. Code Talker would be very disappointed,0
120,Don't call Swiss cheese this plastic thing... It's American...,0
121,"I captured your red bell pepper sauce and mixed with a bit of kewpie, put Dijon on the opposite bun and my wife is totally raving!!! Look into it. (Cheese was American and potato bun!)",0
122,"spoilers:
he failed",0
123,"You completely short-circuited all of my main comments/potential complaints by introducing George, LOL!!",0
124,I love that he says he is a steward to history. Such a great statement and it sets up his burger perfect. It’s easy to add all kinds of fried toppings to make an amazing tasting 1600 calorie burger..but make one simple burger. I’m not much a fan of pickles and would swap that for pickled jalapeños but otherwise I’m right on track!,0
125,"Ketchup by its self should not be a condiment! You want a sauce, chilli sauce is the way to go!",0
126,"If you have never tried sliced smoked cheddar cheese on a burger, you are missing out.
Great video!  👍🏼👍🏼",0
127,"This is maybe the first time I've ever seen George Motz be involved in the cooking of a burger without burning his fingers.  It's not the same. 💔

(My perfect burger: 74% lean, salt, pepper, and a small amount of MSG as two thin-smashed patties, thin-sliced onions cooked in burger grease and just a dollop of yellow mustard, Bongard's White American Cheese, toasted potato roll, bun very lightly brushed after toasting with Kewpie Mayo, a couple of sweet & hot pickles.)",0
128,"umm too quick, aderol or cocaine?
as someonw in the industry, yes let the man speak but as an asshole and someone who is fucking exhausted with the ""berger"" (attack me please) 
could we please content to maybe a purpose and not a dumb elimination contest? Das Ich will.  I love yall.
Ich liebe alle video (or whatever that word is).  but yeah this bartender no buger. por favor mis amigos ahora",0
129,This guy ain't that good to have such a huge ego,0
130,"American cheese can go to hell. 2 foods I’ll biaslly hate always, to my core. Raw onions, and American Cheese. 🤮",0
131,no american cheese is greesy crap... i hate american cheese it just tastes like worse butter...,0
132,The glazing bro...,0
133,"no sauce on a burger...

straight to Hell...",0
134,What are the added aromatics?!?!? we need to know!,0
135,Next time you get someone to come onto your channel please shut the fuck up and let them talk jesus.,0
136,"Of course you picked smash burger for the patty style. You cooked them all the same way. You can tell you did because it gets more well done the farther you go down.
Grilled is best, and you grill it slower than that and cook it the way through.",0
137,Just came to say Gordon Ramsay burger is MID,0
138,So we’re not going to talk about the bacon elephant in the room?,0
139,love you josh,0
140,Ron Swanson already made the perfect burger. It's made out of meat on a bun with nothing. Add ketchup if you want.,0
141,"My preferred burger: Sesame seed bun, smash or grilled patty, cheddar/havarti/munster cheese, mayo + mustard, lots of onion, some lettuce, and sliced pickles.",0
142,"So basically you pick the greasiest, saltiest and  most ultraprocessed foods you can find and fry them together. Put them on a bun so loaded with preservatives that it'll keep forever. Enjoy!  Americans...",0
143,"For a mustard forward burger sauce I'd recommend Matty Matheson's Holy Trinity Sauce: 2 parts mustard, 1 part ketchup and 1 part mayo. It's burger sauce magic.",0
144,"What the hell is this ""ketchup is for children"" mentality so pervasive in the south. I don't get it and it doesn't exist outside of the south. God forbid you put ketchup on anything in Texas. Every 10 gallon hat in fifty miles will stampede over themselves to call you a child and question your masculinity.",0
145,Anybody noticed how Josh progressively began to focus on what be likes ? 😂😂,0
146,no pepperjack chz should be a crime,0
147,love george,0
148,"This looks good af, but where did but cheaper go. Ngl I want good food at a good price",0
149,"Proves not everything needs to be ""elevated"" ""to the next level"".  Sometimes, simple is good.  Burger, a beer, and a sunny afternoon",0
150,"guga, should go against u",0
151,Motz the double dipper :),0
152,Immediate fail on the American cheese,0
153,Why isn't George in the thumbnail?,0
154,This guy looks like Aaron Franklin's dad.,0
155,"Between the two of you, you've got a great full beard",0
156,Its hilarious that George made a Freddy’s burger,0
157,Yellow American can kick rocks.,0
158,"Pickled red onion is what I need on the burger. Tomatoes are out.. maybe pickles but not per se because pickled onions are the bomb. Yes to the american cheese and the smash burger but I use a toasted pita bun, less bread, crunchy and I think it compliments the burger without overpowering it. Lettuce and yes on your sauce. That is my burger.",0
159,"Have you considered doing more shared critique vids?  It is a fun format that leads to surprises for both parties. I always remember the Chef Netflix series where Favreau and Roy Choi make kimchi (I think) and Roy likes Jon's better, but Jon says, ""Chef, this is YOUR old recipe.""

Either way great vid!",0
160,Avacado bacon burger!!!!!,0
161,you are the perfect human being josh <3,0
162,"""The Smash Patty is the winner""

Nah. No way. Smash Patties are fine in a ""I'm hungry and need a quick burger now"" kinda way but for a PERFECT burger I need something with actual HEFT. Give me a nice THICC patty.",0
163,Hey Josh can you do a juicy Lucy burger recipe,0
164,George is right on the money. I love these videos!,0
165,too much pickles,0
166,the perfect burger was an ... in and out burger?,0
167,these guys are culinary professionals and they chose american cheese. 💀,0
168,Why even have George on if you don’t take any input from him 😭,0
169,"George is the burger master for a reason! Josh’s burger definitely made my mouth water, but George knew what kind of burger I wanted before I asked for it! Good old army phrase is “keep it simple stupid”, which basically means adding extra bells and whistles doesn’t mean it’ll work better. I really enjoyed this episode and I REALLY look forward to seeing what food you make next!",1
170,80% is the perfect because you get a juicy burger but you get that beef flavour,0
171,"The only vegetable that goes in a burger is onion, change my mind",0
172,Idk the authenticity of these videos seem very concerning with how consistently Josh dislikes something that is loved by the masses which of course leads to complaints in the comments which leads to more views on the video. Not having brioche in the top 3 just feels so fake.,0
173,You need jalapenos and bacon on a burger bounded by law,0
174,"I don't like the thick buns. I'm there for the meat and toppings, not the bun. Give me a cheap bun or potato bun, like shake shack. The bun is not the star. Add some garlic butter and toast it, but don't let it be a large part of the burger.",0
175,American cheese has no place in anything.  Just use cheddar.,2
176,I personally like the way muenster. Good on a burger but I feel works even better on hot deli sandwich,0
177,I'd watch him cook anything,0
178,"I like your videos,. but the tiktok-style really ruins it. You should make content for the people living on 1.0 speed.",0
179,20 mins just to make a basic smash burger and call it perfect.,1
180,"No matter how many burger videos YouTube keep recommending to me, I always click",0
181,"Joshua, I usually buy the pickles pre sliced like that, but I recently started chopping them into tiny cubes and then you just scoop them with the knife and lay on top of the sauce 🤌 this way when they start sliding out it's just few small pieces instead of the whole slice of pickle 😘🥒",0
182,Bro make a Cuban sandwich 🥪 🔥,0
183,"Perfect burguer until you put american ""cheese"" on it.",0
184,Josh wanted a perfect flavourful mix of wonders while George just wanted a burger with no complications.,0
185,"So you made a very basic burger lol - bun with sesame seeds, flat patty, american cheese, big mac-ish sauce and a pickle",0
